presa_id,clavesih,nombre_presa,estado_id,latitud,longitud,pred_vol_Base,pred_pct_Base,pred_pct_base_baja,pred_pct_base_alta,pred_vol_Temp_+1C,pred_pct_Temp_+1C,pred_vol_Temp_+2C,pred_pct_Temp_+2C,pred_vol_Temp_+3C,pred_pct_Temp_+3C
130,SRSJL,"Manuel M. Diéguez, Jal.",MX-JAL,20.908889,-103.705556,330.67,0.8406294488509254,0.798597976408379,0.8826609212934717,317.4432,0.8070042708968883,300.90970000000004,0.7649727984543421,277.7628,0.7061287370347773
131,STRZC,"Santa Rosa, Zac.",MX-ZAC,22.923611,-103.108889,1.874,0.1788850735405176,0.16994081986349172,0.1878293272175435,1.79904,0.1717296705988969,1.70534,0.16278541692187104,1.57416,0.1502634617740348
132,TCTJL,"Tacotán, Jal.",MX-JAL,20.036111,-104.320278,105.274,0.7054054310779936,0.6701351595240939,0.7406757026318933,101.06304,0.6771892138348738,95.79934,0.6419189422809742,88.43016,0.5925405621055145
133,TEMOX,"Presidente Alemán, Oax.",MX-OAX,18.232222,-96.412222,4608.52,0.5676153362014709,0.5392345693913972,0.5959961030115445,4424.1792000000005,0.544910722753412,4193.7532,0.5165299559433385,3871.1568,0.4767968824092355
134,TENJL,"Tenasco, Jal.",MX-JAL,22.171944,-103.198611,3.358,0.3201143946615825,0.30410867492850335,0.3361201143946616,3.22368,0.30730981887511916,3.0557800000000004,0.2913040991420401,2.82072,0.2688960915157293
135,TEPMC,"Tepuxtepec, Mich.",MX-MIC,20.000278,-100.229167,301.922,0.6709825099451074,0.637433384447852,0.7045316354423629,289.84512,0.6441432095473031,274.74902000000003,0.6105940840500478,253.61448000000001,0.5636253083538902
136,TMLJL,"Ramón Corona Madrigal General, Jal.",MX-JAL,19.976111,-104.370278,157.366,0.629464,0.5979908,0.6609372,151.07136,0.60428544,143.20306000000002,0.5728122400000001,132.18744,0.52874976
137,TMUMC,"Tercer Mundo, Mich.",MX-MIC,19.766389,-100.299167,3.1,0.207053164250175,0.19670050603766626,0.21740582246268375,2.976,0.198771037680168,2.821,0.18841837946765927,2.604,0.173924657970147
138,TNTCH,"El Tintero, Chih.",MX-CHH,29.5625,-107.384167,11.881,0.0949910077511263,0.09024145736356998,0.09974055813868263,11.405759999999999,0.09119136744108125,10.81171,0.08644181705352494,9.98004,0.0797924465109461
139,TPTMX,"San Andrés Tepetitlán, Méx.",MX-MEX,19.660833,-99.961389,42.581,0.7100857199752241,0.6745814339764629,0.7455900059739853,40.87776,0.681682291176215,38.74871,0.6461780051774539,35.76804,0.5964720047791882
140,TRJCM,"Solidaridad, Jal.",MX-JAL,18.967222,-103.396667,126.198,0.6204790843117588,0.5894551300961708,0.6515030385273468,121.15007999999999,0.5956599209392884,114.84018,0.5646359667237005,106.00631999999999,0.5212024308218773
